time,V(1),V(2),V(3),V(gate),I(C1),I(D1),I(L1),I(Rload),I(S1),I(Vgate),I(Vin),L1:flux,source_file,step,I(R1)
7.55845918878998e-07,12.0,0.008994833,23.992443,5.0,-0.9996851,-1.0239835e-09,0.8994833,0.9996851,-0.8994833,0.0,-0.8994833,8.994821e-06,morecomplex,0,
7.65845918878998e-07,12.0,0.009114733,23.992342,5.0,-0.99968094,-1.0239831e-09,0.91147333,0.99968094,-0.91147333,0.0,-0.91147333,9.114721e-06,morecomplex,0,
7.75845918878998e-07,12.0,0.009234632,23.992243,5.0,-0.99967676,-1.023983e-09,0.9234632,0.99967676,-0.9234632,0.0,-0.9234632,9.234621e-06,morecomplex,0,
7.85845918878998e-07,12.0,0.00935453,23.992144,5.0,-0.9996726,-1.0239828e-09,0.935453,0.9996726,-0.935453,0.0,-0.935453,9.354519e-06,morecomplex,0,
7.95845918878998e-07,12.0,0.0094744265,23.992043,5.0,-0.9996685,-1.0239827e-09,0.94744265,0.9996685,-0.94744265,0.0,-0.94744265,9.474415e-06,morecomplex,0,
8.058459188789981e-07,12.0,0.009594322,23.991943,5.0,-0.9996643,-1.0239825e-09,0.9594322,0.9996643,-0.9594322,0.0,-0.9594322,9.59431e-06,morecomplex,0,
8.158459188789981e-07,12.0,0.009714216,23.991842,5.0,-0.99966013,-1.0239821e-09,0.97142154,0.99966013,-0.97142154,0.0,-0.97142154,9.714204e-06,morecomplex,0,
8.258459188789981e-07,12.0,0.009834108,23.991743,5.0,-0.99965596,-1.0239819e-09,0.98341084,0.99965596,-0.98341084,0.0,-0.98341084,9.834096e-06,morecomplex,0,
8.358459188789981e-07,12.0,0.009953999,23.991644,5.0,-0.9996518,-1.0239818e-09,0.99539995,0.9996518,-0.99539995,0.0,-0.99539995,9.9539875e-06,morecomplex,0,
8.458459188789981e-07,12.0,0.010073889,23.991543,5.0,-0.9996476,-1.0239815e-09,1.007389,0.9996476,-1.007389,0.0,-1.007389,1.0073877e-05,morecomplex,0,
8.558459188789981e-07,12.0,0.010193777,23.991444,5.0,-0.99964345,-1.0239812e-09,1.0193777,0.99964345,-1.0193777,0.0,-1.0193777,1.0193766e-05,morecomplex,0,
8.658459188789981e-07,12.0,0.010313665,23.991343,5.0,-0.9996393,-1.0239811e-09,1.0313665,0.9996393,-1.0313665,0.0,-1.0313665,1.0313653e-05,morecomplex,0,
8.758459188789981e-07,12.0,0.010433551,23.991243,5.0,-0.99963516,-1.0239807e-09,1.0433551,0.99963516,-1.0433551,0.0,-1.0433551,1.0433539e-05,morecomplex,0,
8.858459188789981e-07,12.0,0.010553435,23.991142,5.0,-0.999631,-1.0239806e-09,1.0553435,0.999631,-1.0553435,0.0,-1.0553435,1.0553424e-05,morecomplex,0,
8.958459188789982e-07,12.0,0.010673319,23.991043,5.0,-0.9996268,-1.0239802e-09,1.0673319,0.9996268,-1.0673319,0.0,-1.0673319,1.0673307e-05,morecomplex,0,
9.058459188789982e-07,12.0,0.010793201,23.990944,5.0,-0.99962264,-1.0239802e-09,1.0793201,0.99962264,-1.0793201,0.0,-1.0793201,1.0793188e-05,morecomplex,0,
9.158459188789982e-07,12.0,0.0109130815,23.990843,5.0,-0.9996185,-1.02398e-09,1.0913081,0.9996185,-1.0913081,0.0,-1.0913081,1.0913069e-05,morecomplex,0,
9.258459188789982e-07,12.0,0.01103296,23.990744,5.0,-0.9996143,-1.0239797e-09,1.103296,0.9996143,-1.103296,0.0,-1.103296,1.1032948e-05,morecomplex,0,
9.358459188789982e-07,12.0,0.011152838,23.990643,5.0,-0.9996101,-1.0239796e-09,1.1152838,0.9996101,-1.1152838,0.0,-1.1152838,1.1152826e-05,morecomplex,0,
9.458459188789982e-07,12.0,0.011272715,23.990543,5.0,-0.99960595,-1.0239793e-09,1.1272715,0.99960595,-1.1272715,0.0,-1.1272715,1.1272703e-05,morecomplex,0,
9.558459188789982e-07,12.0,0.011392591,23.990444,5.0,-0.99960184,-1.023979e-09,1.139259,0.9996018,-1.139259,0.0,-1.139259,1.1392578e-05,morecomplex,0,
9.658459188789981e-07,12.0,0.011512465,23.990343,5.0,-0.99959767,-1.0239788e-09,1.1512464,0.99959767,-1.1512464,0.0,-1.1512464,1.1512452e-05,morecomplex,0,
9.75845918878998e-07,12.0,0.011632337,23.990244,5.0,-0.9995935,-1.0239787e-09,1.1632338,0.9995935,-1.1632338,0.0,-1.1632338,1.1632325e-05,morecomplex,0,
9.85845918878998e-07,12.0,0.011752209,23.990143,5.0,-0.9995893,-1.0239783e-09,1.1752208,0.9995893,-1.1752208,0.0,-1.1752208,1.1752197e-05,morecomplex,0,
9.958459188789978e-07,12.0,0.011872078,23.990044,5.0,-0.99958515,-1.0239781e-09,1.1872078,0.99958515,-1.1872078,0.0,-1.1872078,1.1872066e-05,morecomplex,0,
1.0058459188789977e-06,12.0,0.011991947,23.989944,5.0,-0.999581,-1.0239779e-09,1.1991947,0.999581,-1.1991947,0.0,-1.1991947,1.1991935e-05,morecomplex,0,
1.0099999999999999e-06,12.0,0.012041741,23.989902,5.0,-0.99957925,-1.0239778e-09,1.2041742,0.99957925,-1.2041742,0.0,-1.2041742,1.2041729e-05,morecomplex,0,
1.0112499999999998e-06,12.0,0.012056725,23.98989,4.375,-0.9995787,-1.0239778e-09,1.2056725,0.9995787,-1.2056725,0.0,-1.2056725,1.2056713e-05,morecomplex,0,
1.0137499999999998e-06,12.0,0.012086691,23.989864,3.125,-0.9995777,-1.0239778e-09,1.2086692,0.9995777,-1.2086692,0.0,-1.2086692,1.208668e-05,morecomplex,0,
1.0140314749767105e-06,12.0,0.0120900655,23.989862,2.9842625,-0.9995776,-1.0239779e-09,1.2090065,0.9995776,-1.2090065,0.0,-1.2090065,1.2090053e-05,morecomplex,0,
1.0145944249301318e-06,12.0,0.012096814,23.989857,2.7027876,-0.99957734,-1.0239779e-09,1.2096814,0.99957734,-1.2096814,0.0,-1.2096814,1.2096802e-05,morecomplex,0,
1.0157203248369745e-06,12.0,0.01211031,23.989845,2.1398375,-0.99957687,-1.0239779e-09,1.211031,0.99957687,-1.211031,0.0,-1.211031,1.2110298e-05,morecomplex,0,
1.0158453248369746e-06,12.0,0.012111807,23.989843,2.0773375,-0.9995768,-1.0239779e-09,1.2111808,0.9995768,-1.2111808,0.0,-1.2111808,1.21117955e-05,morecomplex,0,
1.0158765748369747e-06,12.0,0.012112183,23.989843,2.0617125,-0.9995768,-1.0239778e-09,1.2112182,0.9995768,-1.2112182,0.0,-1.2112182,1.211217e-05,morecomplex,0,
